,Date,Vegetable,Wholesale Price,Retail Price,Shopping Mall Price,Units
0,2023-03-31,Onion Big,18,22,26,1kg
1,2023-03-31,Onion Small,55,66,78,1kg
2,2023-03-31,Tomato,21,25,30,1kg
3,2023-03-31,Green Chilli,41,49,58,1kg
4,2023-03-31,Beetroot,28,34,40,1kg
5,2023-03-31,Potato,32,39,45,1kg
6,2023-03-31,Raw Banana (Plantain),10,12,14,1kg
7,2023-03-31,Amaranth Leaves,14,17,20,1kg
8,2023-03-31,Amla,50,61,71,1kg
9,2023-03-31,Ash gourd,20,24,28,1kg
10,2023-03-31,Baby Corn,59,71,84,1kg
11,2023-03-31,Banana Flower,21,25,30,1kg
12,2023-03-31,Capsicum,48,58,68,1kg
13,2023-03-31,Bitter Gourd,33,40,47,1kg
14,2023-03-31,Bottle Gourd,26,31,37,1kg
15,2023-03-31,Butter Beans,50,61,71,1kg
16,2023-03-31,Broad Beans,41,49,58,1kg
17,2023-03-31,Cabbage,14,17,20,1kg
18,2023-03-31,Carrot,29,35,41,1kg
19,2023-03-31,Cauliflower,24,29,34,1kg
20,2023-03-31,Cluster beans,41,49,58,1kg
21,2023-03-31,Coconut,26,31,37,1kg
22,2023-03-31,Colocasia Leaves,16,19,22,1kg
23,2023-03-31,Colocasia,28,34,40,1kg
24,2023-03-31,Coriander Leaves,6,7,8,1kg
25,2023-03-31,Corn,28,34,40,1kg
26,2023-03-31,Cucumber,30,36,43,1kg
27,2023-03-31,Curry Leaves,28,34,40,1kg
28,2023-03-31,Dill Leaves,10,12,14,1kg
29,2023-03-31,Drumsticks,120,145,171,1kg
30,2023-03-31,Brinjal,20,24,28,1kg
31,2023-03-31,Brinjal (Big),23,27,33,1kg
32,2023-03-31,Elephant Yam,29,35,41,1kg
33,2023-03-31,Fenugreek Leaves,9,10,13,1kg
34,2023-03-31,French Beans,42,50,59,1kg
35,2023-03-31,Garlic,58,70,83,1kg
36,2023-03-31,Ginger,44,53,63,1kg
37,2023-03-31,Onion Green,44,53,63,1kg
38,2023-03-31,Green Peas,81,98,115,1kg
39,2023-03-31,Ivy Gourd,22,26,31,1kg
40,2023-03-31,Lemon (Lime),54,65,77,1kg
41,2023-03-31,Mango Raw,98,118,140,1kg
42,2023-03-31,Mint Leaves,6,7,8,1kg
43,2023-03-31,Mushroom,72,87,102,1kg
44,2023-03-31,Mustard Leaves,16,19,22,1kg
45,2023-03-31,Ladies Finger,50,61,71,1kg
46,2023-03-31,Pumpkin,24,29,34,1kg
47,2023-03-31,Radish,25,30,35,1kg
48,2023-03-31,Ridge Gourd,30,36,43,1kg
49,2023-03-31,Shallot (Pearl Onion),34,41,48,1kg
50,2023-03-31,Snake Gourd,30,36,43,1kg
51,2023-03-31,Sorrel Leaves,14,17,20,1kg
52,2023-03-31,Spinach,15,18,21,1kg
53,2023-03-31,Sweet Potato,39,47,55,1kg
54,2023-03-30,Onion Big,18,22,26,1kg
55,2023-03-30,Onion Small,55,66,78,1kg
56,2023-03-30,Tomato,21,25,30,1kg
57,2023-03-30,Green Chilli,41,49,58,1kg
58,2023-03-30,Beetroot,28,34,40,1kg
59,2023-03-30,Potato,32,39,45,1kg
60,2023-03-30,Raw Banana (Plantain),10,12,14,1kg
61,2023-03-30,Amaranth Leaves,14,17,20,1kg
62,2023-03-30,Amla,50,61,71,1kg
63,2023-03-30,Ash gourd,20,24,28,1kg
64,2023-03-30,Baby Corn,59,71,84,1kg
65,2023-03-30,Banana Flower,21,25,30,1kg
66,2023-03-30,Capsicum,48,58,68,1kg
67,2023-03-30,Bitter Gourd,33,40,47,1kg
68,2023-03-30,Bottle Gourd,26,31,37,1kg
69,2023-03-30,Butter Beans,50,61,71,1kg
70,2023-03-30,Broad Beans,41,49,58,1kg
71,2023-03-30,Cabbage,14,17,20,1kg
72,2023-03-30,Carrot,29,35,41,1kg
73,2023-03-30,Cauliflower,24,29,34,1kg
74,2023-03-30,Cluster beans,41,49,58,1kg
75,2023-03-30,Coconut,26,31,37,1kg
76,2023-03-30,Colocasia Leaves,16,19,22,1kg
77,2023-03-30,Colocasia,28,34,40,1kg
78,2023-03-30,Coriander Leaves,6,7,8,1kg
79,2023-03-30,Corn,28,34,40,1kg
80,2023-03-30,Cucumber,30,36,43,1kg
81,2023-03-30,Curry Leaves,28,34,40,1kg
82,2023-03-30,Dill Leaves,10,12,14,1kg
83,2023-03-30,Drumsticks,120,145,171,1kg
84,2023-03-30,Brinjal,20,24,28,1kg
85,2023-03-30,Brinjal (Big),23,27,33,1kg
86,2023-03-30,Elephant Yam,29,35,41,1kg
87,2023-03-30,Fenugreek Leaves,9,10,13,1kg
88,2023-03-30,French Beans,42,50,59,1kg
89,2023-03-30,Garlic,58,70,83,1kg
90,2023-03-30,Ginger,44,53,63,1kg
91,2023-03-30,Onion Green,44,53,63,1kg
92,2023-03-30,Green Peas,81,98,115,1kg
93,2023-03-30,Ivy Gourd,22,26,31,1kg
94,2023-03-30,Lemon (Lime),54,65,77,1kg
95,2023-03-30,Mango Raw,98,118,140,1kg
96,2023-03-30,Mint Leaves,6,7,8,1kg
97,2023-03-30,Mushroom,72,87,102,1kg
98,2023-03-30,Mustard Leaves,16,19,22,1kg
99,2023-03-30,Ladies Finger,50,61,71,1kg
100,2023-03-30,Pumpkin,24,29,34,1kg
101,2023-03-30,Radish,25,30,35,1kg
102,2023-03-30,Ridge Gourd,30,36,43,1kg
103,2023-03-30,Shallot (Pearl Onion),34,41,48,1kg
104,2023-03-30,Snake Gourd,30,36,43,1kg
105,2023-03-30,Sorrel Leaves,14,17,20,1kg
106,2023-03-30,Spinach,15,18,21,1kg
107,2023-03-30,Sweet Potato,39,47,55,1kg
108,2023-03-29,Onion Big,18,22,26,1kg
109,2023-03-29,Onion Small,55,66,78,1kg
110,2023-03-29,Tomato,21,25,30,1kg
111,2023-03-29,Green Chilli,41,49,58,1kg
112,2023-03-29,Beetroot,28,34,40,1kg
113,2023-03-29,Potato,32,39,45,1kg
114,2023-03-29,Raw Banana (Plantain),10,12,14,1kg
115,2023-03-29,Amaranth Leaves,14,17,20,1kg
116,2023-03-29,Amla,50,61,71,1kg
117,2023-03-29,Ash gourd,20,24,28,1kg
118,2023-03-29,Baby Corn,59,71,84,1kg
119,2023-03-29,Banana Flower,21,25,30,1kg
120,2023-03-29,Capsicum,48,58,68,1kg
121,2023-03-29,Bitter Gourd,33,40,47,1kg
122,2023-03-29,Bottle Gourd,26,31,37,1kg
123,2023-03-29,Butter Beans,50,61,71,1kg
124,2023-03-29,Broad Beans,41,49,58,1kg
125,2023-03-29,Cabbage,14,17,20,1kg
126,2023-03-29,Carrot,29,35,41,1kg
127,2023-03-29,Cauliflower,24,29,34,1kg
128,2023-03-29,Cluster beans,41,49,58,1kg
129,2023-03-29,Coconut,26,31,37,1kg
130,2023-03-29,Colocasia Leaves,16,19,22,1kg
